Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	1032	7	9	10	AqS1	0.02
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Unclassified	1026	2	7	3	Unclassified	0.02
Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	1008	7	6	6	Unclassified	0.02
Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	983	2	6	9	Thermodesulfovibrio	0.02
Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Unclassified	971	7	8	7	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	968	5	7	9	Sneathiella	0.02
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	957	4	5	9	Roseibium	0.02
Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	930	11	7	8	Aminicenans	0.02
Fibrobacterota	Chitinivibrionia	Chitinivibrionales	Chitinispirillaceae	927	11	5	6	BBMC-4	0.02
Actinomycetota	Actinobacteria	Frankiales	Unclassified	924	1	8	2	Unclassified	0.02
Acidobacteriota	Subgroup_26	Unclassified	Unclassified	923	9	8	8	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	906	15	6	11	Marivibrio	0.02
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Kangiellaceae	891	6	7	7	Kangiella	0.02
WS2	Unclassified	Unclassified	Unclassified	890	13	4	12	Unclassified	0.02
Cyanobacteriota	Sericytochromatia	Unclassified	Unclassified	885	7	9	9	Unclassified	0.02
Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	880	3	7	4	Nitrospina	0.02
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	868	6	8	10	Defluviicoccus	0.02
Chloroflexota	Dehalococcoidia	MSBL5	Unclassified	825	10	7	8	Unclassified	0.02
Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	824	15	6	14	Unclassified	0.02
Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	813.7	8	6	8	Natranaerovirga	0.02
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	812	4	8	4	Ignavibacterium	0.02
Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	Unclassified	810.25	13	10	8	Unclassified	0.02
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	805	7	8	7	Unclassified	0.02
Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	803	7	7	8	Unclassified	0.02
Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	780	29	8	16	Unclassified	0.01
Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	773	16	5	15	Unclassified	0.01
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Desulfuromonadaceae	759.5	6	8	9	Unclassified	0.01
Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halanaerobiaceae	757	10	9	9	Halocella	0.01
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	753	7	8	10	Roseospira	0.01
Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Unclassified	752	7	7	7	Unclassified	0.01
Myxococcota	Polyangiia	UASB-TL25	Unclassified	732	11	8	7	Unclassified	0.01
Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	723	15	9	10	Unclassified	0.01
Myxococcota	Polyangiia	PS-B29	Unclassified	710	7	8	6	Unclassified	0.01
Acidobacteriota	Vicinamibacteria	Subgroup_9	Unclassified	708	8	7	9	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	701	6	7	11	Thalassobaculum	0.01
Planctomycetota	Pla3_lineage	Unclassified	Unclassified	678	14	8	12	Unclassified	0.01
Myxococcota	Polyangiia	Polyangiales	Eel-36e1D6	673.5	12	9	9	Unclassified	0.01
Acidobacteriota	Holophagae	Subgroup_7	Unclassified	672	3	8	4	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Parvibaculales	Parvibaculaceae	641	5	7	13	Unclassified	0.01
MBNT15	Unclassified	Unclassified	Unclassified	631	10	8	7	Unclassified	0.01
Actinomycetota	Actinobacteria	Unclassified	Unclassified	631	17	9	13	Unclassified	0.01
Planctomycetota	BD7-11	Unclassified	Unclassified	627	14	8	11	Unclassified	0.01
Nitrospinota	P9X2b3D02	Unclassified	Unclassified	627	3	9	7	Unclassified	0.01
LCP-89	Unclassified	Unclassified	Unclassified	620	9	8	6	Unclassified	0.01
Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	603	3	6	6	Unclassified	0.01
Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	602	5	6	5	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	576	7	6	7	Methylophaga	0.01
Chloroflexota	OLB14	Unclassified	Unclassified	570	2	8	8	Unclassified	0.01
Patescibacteria	Parcubacteria	Unclassified	Unclassified	562	14	9	13	Unclassified	0.01
Patescibacteria	ABY1	Candidatus_Kerfeldbacteria	Unclassified	562	16	8	10	Unclassified	0.01
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Geothermobacteraceae	562	4	7	5	Geothermobacter	0.01
Myxococcota	Polyangiia	VHS-B4-70	Unclassified	552	4	8	5	Unclassified	0.01
Actinomycetota	WCHB1-81	Unclassified	Unclassified	550	11	5	10	Unclassified	0.01
Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	539	25	5	12	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	535	3	7	6	Unclassified	0.01
Myxococcota	Polyangiia	Blfdi19	Unclassified	521	10	9	7	Unclassified	0.01
Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	518	10	6	9	Unclassified	0.01
Chloroflexota	Dehalococcoidia	GIF3	Unclassified	510	9	5	8	Unclassified	0.01
Planctomycetota	Phycisphaerae	mle1-8	Unclassified	508	10	8	7	Unclassified	0.01
Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	01D2Z36	504	5	7	7	Unclassified	0.01
Verrucomicrobiota	Lentisphaeria	SS1-B-02-17	Unclassified	498	9	8	9	Unclassified	0.01
Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	495.09	4	6	8	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	495	1	7	7	Arhodomonas	0.01
Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	486	24	5	16	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae1	484	4	7	5	Alcanivorax	0.01
Candidatus_Kryptonia	Kryptonia	Kryptoniales	MSB-3C8	475	2	9	5	Unclassified	0.01
Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	472.75	7	5	5	Fusibacter	0.01
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Fodinicurvataceae	462	6	8	8	Ferruginivarius	0.01
Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	457.5	2	9	4	Unclassified	0.01
Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	454.4	10	9	9	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	454	8	6	8	Coxiella	0.01
Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	449.6	10	7	10	Arcobacter	0.01
Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	449	15	9	11	RBG-16-49-21	0.01
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	440	3	7	5	Unclassified	0.01
Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	435	6	9	6	Unclassified	0.01
Actinomycetota	Actinobacteria	Micrococcales	Unclassified	433	12	9	7	Unclassified	0.01
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Unclassified	432	3	8	4	Unclassified	0.01
Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	430	2	6	4	Unclassified	0.01
Chloroflexota	Anaerolineae	RBG-13-54-9	Unclassified	422.5	8	9	7	Unclassified	0.01
Deferrisomatota	Deferrisomatia	Deferrisomatales	Deferrisomataceae	414	2	7	4	Deferrisoma	0.01
Chloroflexota	Anaerolineae	Thermoflexales	Thermoflexaceae	407	4	8	4	Thermoflexus	0.01
Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	404	2	7	3	Desulfomicrobium	0.01
Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	398	8	9	9	Unclassified	0.01
Nanoarchaeota	Nanoarchaeia	Pacearchaeales	Unclassified	391	17	9	11	SCGC_AAA011-D5	0.01
Cyanobacteriota	Cyanobacteriia	Unclassified	Unclassified	390.85	15	9	8	Unclassified	0.01
Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	390	3	8	3	Ammoniphilus	0.01
Acidobacteriota	Subgroup_5	Unclassified	Unclassified	384	5	7	6	Unclassified	0.01
Patescibacteria	Gracilibacteria	Candidatus_Peregrinibacteria	Unclassified	377.5	19	9	13	Unclassified	0.01
FW113	Unclassified	Unclassified	Unclassified	364	3	8	3	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	364	2	8	2	Unclassified	0.01
Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	359	6	7	6	Mariprofundus	0.01
Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	355.5	7	7	6	Pseudodesulfovibrio	0.01
Gemmatimonadota	S0134_terrestrial_group	Unclassified	Unclassified	350	5	7	5	Unclassified	0.01
Bacillota	Clostridia	Eubacteriales	Alkalibacteraceae	350	2	5	4	Alkalibacter	0.01
Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	340	8	8	7	Unclassified	0.01
Chloroflexota	N9D0	Unclassified	Unclassified	338	1	7	7	Unclassified	0.01
Patescibacteria	ABY1	Candidatus_Kuenenbacteria	Unclassified	337	5	8	5	Unclassified	0.01
Patescibacteria	ABY1	Candidatus_Magasanikbacteria	Unclassified	335	8	8	6	Unclassified	0.01
Chlamydiota	Chlamydiia	LD1-PA32	Unclassified	334	6	8	7	Unclassified	0.01
Dependentiae	Babeliae	Babeliales	Unclassified	324	13	8	7	Unclassified	0.01
Planctomycetota	Planctomycetes	Unclassified	Unclassified	324	16	8	10	Unclassified	0.01
Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	320	5	8	6	Candidatus_Entotheonella	0.01
Chloroflexota	Dehalococcoidia	RBG-13-46-9	Unclassified	320	5	5	4	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	317	6	6	4	Microvirga	0.01
Pseudomonadota	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	314	4	8	3	Unclassified	0.01
Acidobacteriota	Acidobacteriae	Subgroup_15	Unclassified	302	3	8	2	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Rickettsiales	AB1	299	10	9	9	Unclassified	0.01
Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	299	5	7	5	Bryobacter	0.01
Pseudomonadota	Alphaproteobacteria	Rickettsiales	Unclassified	293	6	5	6	Unclassified	0.01
Chlamydiota	Chlamydiia	Chlamydiales	Unclassified	291	15	7	11	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	288	5	7	5	Pseudomonas	0.01
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	274	3	8	3	Thauera	0.01
Schekmanbacteria	Unclassified	Unclassified	Unclassified	272	7	9	6	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	270	5	7	7	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	268	5	8	5	Unclassified	0.01
Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	Thermosynechococcaceae	265	5	7	5	Synechococcus_IR11	0
Actinomycetota	Actinobacteria	Micrococcales	Demequinaceae	262	3	7	5	Demequina	0
FCPU426	Unclassified	Unclassified	Unclassified	257	9	7	8	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	BD2-7	252	2	6	2	Unclassified	0
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	251	3	7	3	MSBL7	0
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Unclassified	247	1	8	3	Unclassified	0
Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	247	1	4	3	Unclassified	0
NKB15	Unclassified	Unclassified	Unclassified	243	5	6	5	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Run-SP154	Unclassified	240	1	9	2	Unclassified	0
Bacillota	Desulfitobacteriia	Desulfitobacteriales	Unclassified	240	1	5	2	Unclassified	0
Patescibacteria	Gracilibacteria	Candidatus_Abawacabacteria	Unclassified	237	5	10	6	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Kordiimonadales	Unclassified	237	3	7	4	Unclassified	0
Actinomycetota	Acidimicrobiia	Unclassified	Unclassified	230	3	9	4	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	225.5	3	7	2	Acinetobacter	0
Elusimicrobiota	Lineage_IIb	Unclassified	Unclassified	224	7	8	6	Unclassified	0
Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	222	7	9	5	Unclassified	0
Planctomycetota	Phycisphaerae	S-70	Unclassified	222	5	9	4	Unclassified	0
Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	220	12	7	8	Unclassified	0
Chloroflexota	Dehalococcoidia	Unclassified	Unclassified	220	5	5	4	Unclassified	0
Pseudomonadota	Gammaproteobacteria	EC3	Unclassified	220	9	9	7	Unclassified	0
Pseudomonadota	Unclassified	Unclassified	Unclassified	217	9	9	8	Unclassified	0
Cloacimonadota	Cloacimonadia	Cloacimonadales	Unclassified	216	1	6	1	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	MBAE14	207	2	7	3	Unclassified	0
Planctomycetota	Phycisphaerae	MSBL9	SG8-4	205	8	6	7	Unclassified	0
Chloroflexota	Anaerolineae	SJA-15	Unclassified	204	1	8	3	Unclassified	0
Myxococcota	Unclassified	Unclassified	Unclassified	203	8	9	6	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Unclassified	203	1	8	2	Methylohalomonas	0
TA06	Unclassified	Unclassified	Unclassified	203	4	6	4	Unclassified	0
Actinomycetota	Actinobacteria	Micrococcales	Dermatophilaceae	202	3	7	3	Unclassified	0
Patescibacteria	ABY1	Candidatus_Falkowbacteria	Unclassified	198	8	5	6	Unclassified	0
Bacillota	Clostridia	Peptococcales	Peptococcaceae	198	3	7	5	Unclassified	0
Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	197	5	6	2	Faecalibacterium	0
Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	196	1	4	3	Unclassified	0
Myxococcota	Polyangiia	VHS-B3-70	Unclassified	195	4	8	6	Unclassified	0
Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	184	4	6	3	Unclassified	0
Patescibacteria	Parcubacteria	GWA2-38-13b	Unclassified	183	7	9	7	Unclassified	0
Bacillota	Clostridia	Clostridiales	Clostridiaceae	183	3	6	4	Clostridium	0
Bacillota	Bacilli	RF39	Unclassified	182	1	1	3	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	180	3	7	3	Oleiagrimonas	0
Chloroflexota	Anaerolineae	1-20	Unclassified	180	1	8	4	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Ga0077536	Unclassified	179	5	10	5	Unclassified	0
Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	Unclassified	177.25	6	10	7	Unclassified	0
Chloroflexota	Dehalococcoidia	GIF9	Unclassified	175	2	7	2	Unclassified	0
Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	175	3	4	3	Acholeplasma	0
Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	173	3	5	5	Propionigenium	0
Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	171	3	7	2	Pontibacter	0
Acetothermia	Acetothermiia	KB1_group	Unclassified	171	3	5	3	Unclassified	0
Myxococcota	Polyangiia	Polyangiales	Phaselicystaceae	169	2	8	2	Phaselicystis	0
Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Unclassified	165	6	9	6	Unclassified	0
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	C8S-102	162	1	7	1	Unclassified	0
Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae	160	4	5	4	Defluviitaleaceae_UCG-011	0
Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	159.74	3	4	7	Paraclostridium	0
Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Clostridiisalibacteraceae	157	2	4	2	Clostridiisalibacter	0
Cyanobacteriota	Vampirivibrionia	Caenarcaniphilales	Unclassified	156	2	7	3	Unclassified	0
Gemmatimonadota	MD2902-B12	Unclassified	Unclassified	150	3	8	4	Unclassified	0
Patescibacteria	Unclassified	Unclassified	Unclassified	145	4	9	4	Unclassified	0
Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	143	1	6	2	Unclassified	0
Campylobacterota	Campylobacteria	Campylobacterales	Rs-M59_termite_group	138	3	9	2	Unclassified	0
Patescibacteria	ABY1	Unclassified	Unclassified	138	5	7	3	Unclassified	0
Patescibacteria	Microgenomatia	Candidatus_Chisholmbacteria	Unclassified	135	5	7	5	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Unclassified	132.5	4	9	5	Unclassified	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Geitlerinemaceae	132	1	8	3	Geitlerinema_PCC-7105	0
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	132	1	7	1	Steroidobacter	0
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	132	1	9	1	Azohydromonas	0
Margulisbacteria	Unclassified	Unclassified	Unclassified	128	5	7	4	Unclassified	0
Patescibacteria	Microgenomatia	Candidatus_Levybacteria	Unclassified	125	1	7	2	Unclassified	0
Acidobacteriota	d142	Unclassified	Unclassified	124	4	8	4	Unclassified	0
Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	122	3	8	3	Thermotunica	0
Chlamydiota	Chlamydiia	Chlamydiales	cvE6	119	4	5	3	Unclassified	0
Spirochaetota	MVP-15	Unclassified	Unclassified	117	1	7	2	Unclassified	0
Pseudomonadota	Alphaproteobacteria	NRL2	Unclassified	115	2	6	4	Unclassified	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Gloeocapsaceae	114	2	8	1	Gloeocapsa	0
Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	112	1	6	1	Unclassified	0
Actinomycetota	Actinobacteria	KIST-JJY010	Unclassified	110	3	7	3	Unclassified	0
Patescibacteria	Kazania	Unclassified	Unclassified	108	1	6	1	Unclassified	0
Pseudomonadota	Gammaproteobacteria	D90	Unclassified	108	1	8	3	Unclassified	0
Bacteroidota	Bacteroidia	Sphingobacteriales	SBYC-2600	105	1	8	1	Unclassified	0
Chloroflexota	Dehalococcoidia	vadinBA26	Unclassified	100	2	5	3	Unclassified	0
Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	100	7	4	5	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Unclassified	99	1	8	1	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Holosporales	Holosporaceae	98	2	5	2	Unclassified	0
Planctomycetota	Phycisphaerae	Unclassified	Unclassified	91	3	8	3	Unclassified	0
Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	90	3	8	2	Macellibacteroides	0
Patescibacteria	Parcubacteria	Candidatus_Yanofskybacteria	Unclassified	90	2	6	2	Unclassified	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	90	2	6	3	Hormoscilla_SI04-45	0
Bacillota	Clostridia	MAT-CR-H4-C10	Unclassified	90	1	6	2	Unclassified	0
Verrucomicrobiota	Verrucomicrobiia	S-BQ2-57_soil_group	Unclassified	88	2	8	2	Unclassified	0
Actinomycetota	Coriobacteriia	OPB41	Unclassified	85	3	5	3	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Unclassified	84	2	5	3	Unclassified	0
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Unclassified	84	1	7	3	Unclassified	0
Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Gottschalkiaceae	84	2	4	2	Andreesenia	0
Elusimicrobiota	Elusimicrobia	MD2894-B20	Unclassified	84	1	4	1	Unclassified	0
Bacillota	Clostridia	Clostridia_UCG-014	Unclassified	82	3	6	3	Unclassified	0
Planctomycetota	Phycisphaerae	MSBL9	4572-13	80	3	4	3	Unclassified	0
Synergistota	Synergistia	Synergistales	Synergistaceae	76.56	4	5	4	JGI-0000079-D21	0
Chloroflexota	Chloroflexia	Thermomicrobiales	AKYG1722	76.5	2	7	4	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Shewanellaceae	75.32	2	7	2	Shewanella	0
Thermodesulfobacteriota	Desulfomonilia	Desulfomonilales	Desulfomonilaceae	75	1	8	1	Desulfomonile	0
Patescibacteria	ABY1	Candidatus_Komeilibacteria	Unclassified	75	4	8	4	Unclassified	0
Bacteroidota	Bacteroidia	Cytophagales	Bernardetiaceae	73.93	7	6	5	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade_I	72	2	6	4	Clade_Ia	0
Pseudomonadota	Alphaproteobacteria	Zavarziniales	Unclassified	70	2	8	2	Unclassified	0
Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	70	1	8	1	Candidatus_Chlorothrix	0
Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	68.6	3	8	3	Unclassified	0
Bacillota	Bacilli	Lactobacillales	Streptococcaceae	68.32	3	3	3	Streptococcus	0
Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	67.25	3	10	2	TM7a	0
Pseudomonadota	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	63	1	5	3	Unclassified	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Oscillatoriaceae	61	3	8	3	Planktothricoides_SR001	0
Patescibacteria	Microgenomatia	Candidatus_Collierbacteria	Unclassified	60	1	8	1	Unclassified	0
Elusimicrobiota	Elusimicrobia	MVP-88	Unclassified	60	1	8	1	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Idiomarinaceae	60	1	6	1	Aliidiomarina	0
CK-2C2-2	Unclassified	Unclassified	Unclassified	60	1	8	1	Unclassified	0
DTB120	Unclassified	Unclassified	Unclassified	60	1	8	1	Unclassified	0
Bacillota	Bacilli	Bacillales	Unclassified	60	1	7	1	Unclassified	0
Acidobacteriota	AT-s3-28	Unclassified	Unclassified	58	4	8	3	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Parvibaculales	Unclassified	58	2	7	2	Unclassified	0
Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	57	2	7	2	Unclassified	0
Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	56	2	6	2	Unclassified	0
Bacteroidota	Bacteroidia	Sphingobacteriales	E6aC02	56	1	7	1	Unclassified	0
Verrucomicrobiota	Lentisphaeria	Victivallales	Unclassified	56	1	6	1	Unclassified	0
Pseudomonadota	Gammaproteobacteria	UBA4486	Unclassified	54	2	6	2	Unclassified	0
Thermoplasmatota	Thermoplasmata	Unclassified	Unclassified	54	1	6	2	Unclassified	0
Nitrospirota	BMS9AB35	Unclassified	Unclassified	51	1	8	1	Unclassified	0
Patescibacteria	CPR2	Unclassified	Unclassified	50	1	4	1	Unclassified	0
Bacteroidota	Bacteroidia	Chitinophagales	37-13	49	2	6	2	Unclassified	0
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Unclassified	48	3	6	2	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Puniceispirillales	EF100-94H03	48	1	5	2	Unclassified	0
Bdellovibrionota	Oligoflexia	Unclassified	Unclassified	48	1	7	1	Unclassified	0
Actinomycetota	Actinobacteria	Micrococcales	Bogoriellaceae	48	1	5	1	Georgenia	0
Elusimicrobiota	Endomicrobiia	Endomicrobiales	Endomicrobiaceae	48	3	4	2	Endomicrobium	0
Caldisericota	Caldisericia	Caldisericales	LF045	48	1	5	1	Unclassified	0
Patescibacteria	Gracilibacteria	Candidatus_Peribacteria	Unclassified	46.5	2	9	2	Unclassified	0
Actinomycetota	Coriobacteriia	CG2-30-50-142	Unclassified	45	1	4	1	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	45	1	7	1	Unclassified	0
Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	45	1	7	1	Gordonia	0
Actinomycetota	Actinobacteria	Mycobacteriales	Unclassified	45	1	7	1	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Oceanospirillaceae	45	2	6	2	Oceanospirillum	0
Patescibacteria	Parcubacteria	Candidatus_Portnoybacteria	Unclassified	44	1	5	1	Unclassified	0
Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	42.14	3	6	3	Jiulongibacter	0
Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	42	1	9	1	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodobiaceae	42	2	5	3	Afifella	0
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	42	2	8	2	Diplosphaera	0
Bacteroidota	Bacteroidia	Sphingobacteriales	Unclassified	42	1	7	1	Unclassified	0
Cyanobacteriota	Cyanobacteriia	Limnotrichales	Limnotrichaceae	40	2	7	3	Limnothrix	0
Halobacteriota	Halobacteria	Halobacterales	Halococcaceae	40	1	5	2	Halococcus	0
Chloroflexota	Dehalococcoidia	FW22	Unclassified	40	2	5	2	Unclassified	0
Verrucomicrobiota	Lentisphaeria	Victivallales	BD2-3	40	1	6	1	Unclassified	0
Poribacteria	Unclassified	Unclassified	Unclassified	39	2	8	2	Unclassified	0
Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	36	1	5	1	Unclassified	0
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Celerinatantimonadaceae	36	1	6	1	Celerinatantimonas	0
Planctomycetota	SGST604	Unclassified	Unclassified	36	1	8	1	Unclassified	0
Nitrospirota	4-29-1	Unclassified	Unclassified	36	1	8	1	Unclassified	0
Bacillota	Clostridia	Unclassified	Unclassified	36	1	6	1	Unclassified	0
Chlamydiota	Chlamydiia	Chlamydiales	Waddliaceae	35	3	5	3	Waddlia	0
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	35	1	5	2	Unclassified	0
Cyanobacteriota	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	33	1	7	1	Unclassified	0
